participant_id,alpha,phi,rho,capacity,kappa,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10098,0.0103203896433115,0.11446169763803482,0.10774660855531693,6.0,-0.19567281007766724,0.03203188255429268,323.3464660644531,658.6929321289062,686.1013995973781,658.8120810650764,0.586625509546308,9.20952243177453e-06,712,True,50,31,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10099,0.009340080432593822,0.13576652109622955,0.218000590801239,2.254026412963867,-0.19609546661376953,0.060602735728025436,393.6339416503906,799.2678833007812,826.6931810748188,799.3866951819693,0.4981777946471636,5.886649887543172e-06,714,True,50,34,['alpha'],"v4.0-K[2,6]-phiapprox"
10101,0.008233564905822277,0.038905613124370575,0.24654407799243927,2.0,1.0,0.07175866514444351,304.5511779785156,621.1023559570312,648.5360512131953,621.2210000248278,0.6122875122916694,8.875421372067649e-06,715,True,48,3,"['alpha', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10102,0.1384686529636383,0.5772886276245117,0.8270096778869629,5.000000953674316,-0.45708978176116943,0.19674934446811676,456.08795166015625,924.1759033203125,951.6179843220764,924.2943800480981,0.42018275922771087,1.367138385772705,716,False,50,28,[],"v4.0-K[2,6]-phiapprox"
10103,0.5214977860450745,0.9990000128746033,0.7876151204109192,2.0,1.0,0.07769318670034409,225.16497802734375,462.3299560546875,489.7971242010138,462.4479335827774,0.7149457643072904,9.319417586084455e-06,719,True,46,15,"['phi', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10104,0.007855554111301899,0.15214429795742035,0.25178566575050354,2.0,0.7183446884155273,0.22910763323307037,549.3990478515625,1110.798095703125,1138.2317909592891,1110.9167397709216,0.3005810287749272,9.98048471956281e-06,715,True,50,39,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10106,0.009558448567986488,0.11858940124511719,0.11411529034376144,2.83512544631958,0.337884783744812,0.070675328373909,441.1812438964844,894.3624877929688,921.829655939295,894.4804653210587,0.4414736102272573,0.0026691933162510395,719,False,50,36,['alpha'],"v4.0-K[2,6]-phiapprox"
10107,0.006503462791442871,0.12592236697673798,0.2428555190563202,2.369460105895996,0.4147958755493164,0.05623110756278038,388.70220947265625,789.4044189453125,816.82971671935,789.5232308265006,0.5044649880412695,8.664334018249065e-06,714,True,50,37,['alpha'],"v4.0-K[2,6]-phiapprox"
10109,0.002574233803898096,0.09353017807006836,0.3136967420578003,3.00000262260437,0.6245906352996826,0.0891818106174469,341.6366271972656,695.2732543945312,722.7404225408575,695.3912319226212,0.5674950496141304,0.21883422136306763,719,False,49,20,['alpha'],"v4.0-K[2,6]-phiapprox"
10110,0.002574233803898096,0.09353017807006836,0.3136967420578003,3.00000262260437,0.6245906352996826,0.0891818106174469,341.6366271972656,695.2732543945312,722.7404225408575,695.3912319226212,0.5674950496141304,0.21883422136306763,719,False,49,20,['alpha'],"v4.0-K[2,6]-phiapprox"
