participant_id,alpha,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10098,0.007836089469492435,0.11970885843038559,0.20195633172988892,3.0,0.6947304010391235,5.022735560800129e-09,0.052187830209732056,319.8221740722656,653.6443481445312,685.6208935244151,653.8034390536221,0.5911310556381281,0.07549213618040085,712,False,49,17,"['alpha', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10099,0.007587620057165623,0.15326626598834991,0.22571896016597748,2.1827642917633057,0.8543844223022461,4.081687432488934e-09,0.06363678723573685,381.823486328125,777.64697265625,809.6431533926271,777.8056128828789,0.5132342928525555,7.440150056936545e-06,714,True,49,22,"['alpha', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10101,0.008233564905822277,0.03890558332204819,0.24654395878314972,2.0,1.0,1.0,0.07175866514444351,304.5511779785156,623.1023559570312,655.1083337558894,623.2607717986155,0.6122875122916694,4.821897618967341e-06,715,True,47,5,"['alpha', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10102,0.012674430385231972,0.28553035855293274,0.3584112226963043,2.0,1.0,5.785148606087861e-39,0.14920654892921448,445.0590515136719,904.1181030273438,936.1338641960683,904.2762951177392,0.4342036217135775,7.728737728029955e-06,716,True,49,15,"['capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10103,0.5214977860450745,0.9990000128746033,0.7876151204109192,2.0,1.0,1.0,0.07769320905208588,225.1649932861328,464.3299865722656,496.37501607631293,464.4875111854864,0.714945744989977,5.6602980293973815e-06,719,True,47,14,"['phi', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10104,0.004933557007461786,0.13716179132461548,0.18466787040233612,2.0,1.0,0.2613554000854492,0.1750446856021881,536.56201171875,1087.1240234375,1119.130001236358,1087.2824392790842,0.31692336981228675,9.664003300713375e-06,715,True,49,31,"['alpha', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10106,0.009016700088977814,0.1510460078716278,0.1927880048751831,2.0,0.9768517017364502,0.34164389967918396,0.09424886107444763,434.1559753417969,882.3119506835938,914.356980187641,882.4694752968146,0.45036745586851534,9.341372788185254e-06,719,True,50,33,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10107,0.004456539638340473,0.13648642599582672,0.28182217478752136,2.0,1.0,0.24880310893058777,0.04998644441366196,375.2959289550781,764.5918579101562,796.5880386465334,764.7504981367852,0.5215559157867355,8.871699719747994e-06,714,True,50,31,"['alpha', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10109,0.0010000000474974513,0.10544124990701675,0.27943405508995056,2.999999761581421,1.0,0.17678414285182953,0.06833653897047043,329.83538818359375,673.6707763671875,705.7158058712348,673.8283009804084,0.5824351757240653,0.014698013663291931,719,False,49,19,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10110,0.0010000000474974513,0.10544124990701675,0.27943405508995056,2.999999761581421,1.0,0.17678414285182953,0.06833653897047043,329.83538818359375,673.6707763671875,705.7158058712348,673.8283009804084,0.5824351757240653,0.014698013663291931,719,False,49,19,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10111,0.003617072943598032,0.21069537103176117,0.2665645182132721,2.0,0.7221188545227051,3.5486191892961094e-13,0.15450914204120636,557.4202880859375,1128.840576171875,1160.8269461147752,1128.999441420102,0.2883789453948772,5.7825000112643465e-06,713,True,49,16,"['alpha', 'capacity', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10112,0.0010000000474974513,0.09361857175827026,0.13224484026432037,2.0,1.0,0.5354890823364258,0.0010000000474974513,467.48431396484375,948.9686279296875,980.8958425909635,949.1288568281138,0.39812933464846256,5.87409112995374e-06,707,True,49,28,"['alpha', 'capacity', 'kappa_total', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10114,0.008154957555234432,0.1186174675822258,0.09328446537256241,2.0,0.6205689907073975,0.37049931287765503,0.024103013798594475,464.1788024902344,942.3576049804688,974.3045936661937,942.517376735105,0.4040708685539035,8.947839887696318e-06,709,True,50,36,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox-stickbreaking"
10115,0.007082183845341206,0.03542732819914818,0.08371111005544662,6.0,1.0,1.0,0.07344777882099152,336.2241516113281,686.4483032226562,718.415010231279,686.607620434605,0.5695577894009004,9.844426131166983e-06,711,True,48,1,"['alpha', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10116,0.0045271883718669415,0.11949360370635986,0.21743367612361908,4.5534820556640625,1.0,1.2378560849957143e-11,0.1124352514743805,361.8968505859375,737.793701171875,769.8289881552125,737.9514476507483,0.5412079256322676,9.132580089499243e-06,718,True,50,23,"['alpha', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10117,0.046883564442396164,0.5765607953071594,0.737182080745697,2.0,0.8685177564620972,4.3107341697948276e-13,0.053767796605825424,279.5231018066406,573.0462036132812,605.0521814121394,573.2046194548655,0.6441498013806836,5.9074341152154375e-06,715,True,49,6,"['capacity', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10120,0.0015039565041661263,0.04630140960216522,0.1414671540260315,2.7794950008392334,1.0,0.5209722518920898,0.01635799929499626,345.6093444824219,705.2186889648438,737.2246667637019,705.377104806428,0.5600179266619749,9.771782060852274e-06,715,True,50,18,"['alpha', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10121,0.007096235640347004,0.277666836977005,0.33819952607154846,2.999999761581421,0.9565008878707886,4.7272069844175614e-20,0.15699250996112823,498.3244934082031,1010.6489868164062,1042.615693825029,1010.808304028355,0.3620330499450165,0.03246050328016281,711,False,50,26,"['alpha', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10125,0.008502856828272343,0.17394272983074188,0.09464962035417557,3.239006519317627,0.800508975982666,2.4715141391795648e-11,0.054205264896154404,427.2737121582031,868.5474243164062,900.5729552006036,868.7053932867871,0.45757141797369494,7.705787538725417e-06,717,True,49,32,"['alpha', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
