model,outcome,predictor,beta,se,ci_lower,ci_upper,t,p,r2,r2_adj,n,predictor_set
WM-RL+K,rho,ies_avoidance,0.00010158231211222996,0.0033792711521839695,-0.006575537572000438,0.0067787021962248985,0.030060420587018865,0.9760588252512684,0.02376132312707102,0.004236549589612393,154,
WM-RL+K,rho,ies_hyperarousal,-0.008057373181342658,0.004559023242846791,-0.017065571510520974,0.000950825147835661,-1.7673463705158459,0.07920368904669524,0.02376132312707102,0.004236549589612393,154,
WM-RL+K,capacity,intercept,3.20202002864588,0.18850740700528942,2.8295472382324593,3.5744928190593006,16.986176190710815,9.109287615467094e-37,0.011754798561157132,-0.008010105467619821,154,
WM-RL+K,capacity,ies_intrusion,-0.009327905694335637,0.025806332543872646,-0.06031877573841404,0.04166296434974277,-0.36145801339564687,0.7182657145848517,0.011754798561157132,-0.008010105467619821,154,
WM-RL+K,capacity,ies_avoidance,-0.016285570405425703,0.019388628974919428,-0.05459566575555748,0.02202452494470607,-0.8399547191548329,0.40227056920937576,0.011754798561157132,-0.008010105467619821,154,
WM-RL+K,capacity,ies_hyperarousal,0.011219156618359481,0.026157477800046704,-0.040465543209308896,0.06290385644602786,0.42890819612353637,0.6686053817582519,0.011754798561157132,-0.008010105467619821,154,
WM-RL+K,kappa,intercept,0.05123716841054264,0.015207069859115536,0.021189438008746547,0.08128489881233873,3.369299206568034,0.0009580551495548365,0.011112200248002302,-0.008665555747037645,154,
WM-RL+K,kappa,ies_intrusion,-0.0011622130562341842,0.002081821123300616,-0.005275694511716855,0.0029512683992484858,-0.558267491489162,0.5774940797495631,0.011112200248002302,-0.008665555747037645,154,
WM-RL+K,kappa,ies_avoidance,-0.00046692897832881333,0.0015640989390183389,-0.003557440409969715,0.002623582453312088,-0.2985290550876965,0.7657125543204497,0.011112200248002302,-0.008665555747037645,154,
WM-RL+K,kappa,ies_hyperarousal,0.0025413010097872033,0.0021101483414517103,-0.00162815234704941,0.006710754366623817,1.204323392752035,0.23036148264274786,0.011112200248002302,-0.008665555747037645,154,
WM-RL+K,epsilon,intercept,0.04877804713787628,0.014666459380485984,0.01979851186273764,0.07775758241301492,3.3258229455690196,0.0011084915008159246,0.023060719283363618,0.0035219336690308634,154,
WM-RL+K,epsilon,ies_intrusion,0.0020607437947183877,0.002007812499396385,-0.001906503626260307,0.0060279912156970825,1.0263626684951488,0.3063729447117537,0.023060719283363618,0.0035219336690308634,154,
WM-RL+K,epsilon,ies_avoidance,-0.0011860931500957835,0.0015084953096617063,-0.004166737074074255,0.0017945507738826878,-0.7862756632380751,0.4329463854766058,0.023060719283363618,0.0035219336690308634,154,
WM-RL+K,epsilon,ies_hyperarousal,0.0009450399529991502,0.0020351326865346154,-0.0030761895713868025,0.0049662694773851025,0.464362819806283,0.6430610911109591,0.023060719283363618,0.0035219336690308634,154,
WM-RL+K,alpha_pos,intercept,0.07664618626430299,0.03170619764046078,0.014004444112221792,0.13928792841638418,2.417388143903247,0.01681617986597856,0.010675755214790805,0.004167043078046051,154,LESS
WM-RL+K,alpha_pos,lec_total,-0.003865183858299836,0.003017994094863516,-0.009827816465676611,0.0020974487490769403,-1.2807128631822697,0.20224528335256653,0.010675755214790805,0.004167043078046051,154,LESS
WM-RL+K,alpha_pos,intercept,0.05688427929540429,0.02012324804328428,0.017126900328549813,0.09664165826225876,2.826794122551615,0.005334676914380241,0.007670324712853116,0.00114184000701667,154,IES-R
WM-RL+K,alpha_pos,ies_total,-0.0005846887400740806,0.0005394162816616005,-0.0016504102123126962,0.0004810327321645352,-1.0839286094090899,0.2801127825893976,0.007670324712853116,0.00114184000701667,154,IES-R
WM-RL+K,alpha_pos,intercept,0.08929511157855015,0.034471876510544244,0.021185615067355584,0.1574046080897447,2.5903757096378723,0.01052616482846151,0.016395213396982355,0.003367335428730356,154,LESS + IES-R
WM-RL+K,alpha_pos,lec_total,-0.003520119590897819,0.0030415804914253517,-0.00952967105253311,0.002489431870737473,-1.1573323805901363,0.2489640418397455,0.016395213396982355,0.003367335428730356,154,LESS + IES-R
WM-RL+K,alpha_pos,ies_total,-0.000508629935769551,0.0005428080951973986,-0.0015811095860951401,0.0005638497145560383,-0.9370345436439773,0.35023706500074747,0.016395213396982355,0.003367335428730356,154,LESS + IES-R
WM-RL+K,alpha_neg,intercept,0.053471711433219236,0.025346841095166817,0.003394111392429844,0.10354931147400863,2.1096006098927775,0.03653116290394982,0.017510688690809295,0.01104694322166988,154,LESS
WM-RL+K,alpha_neg,lec_total,-0.0039710701196804905,0.002412670784939497,-0.00873776913928084,0.0007956288999198596,-1.6459229101910287,0.10184582688296372,0.017510688690809295,0.01104694322166988,154,LESS
WM-RL+K,alpha_neg,intercept,0.027047716718596713,0.016158393846312614,-0.00487632388666397,0.0589717573238574,1.6739112176529272,0.0962046062432706,0.005771931437727917,-0.0007690426975501818,154,IES-R
