participant_id,alpha,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10036,0.004409058950841427,0.3053933084011078,0.3700557053089142,2.0,0.7816437482833862,0.05440148338675499,501.47149658203125,1014.9429931640625,1042.3598816865483,1015.0619733340342,0.35980501090570716,1.4424875871554832e-06,713,True,50,35,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10039,0.005478383041918278,0.12235697358846664,0.18205782771110535,2.3670802116394043,0.7763910293579102,0.03136499971151352,358.4803161621094,728.9606323242188,756.3606669030382,729.0799505060369,0.5410649145649191,9.143231181951705e-06,711,True,50,17,['alpha'],"v4.0-K[2,6]-phiapprox"
10041,0.0026820795610547066,0.3844916820526123,0.23590634763240814,2.0,0.5453519821166992,0.13668151199817657,651.78662109375,1315.5732421875,1342.8453401495065,1315.695158007529,0.14758369265791027,6.612084689550102e-06,696,True,50,13,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10043,0.05103302374482155,0.5533679127693176,0.9459565877914429,5.000000476837158,0.9101595878601074,0.09861155599355698,487.0928039550781,986.1856079101562,1013.6276889119201,986.3040846379419,0.38076679166540783,0.37651312351226807,716,False,50,25,[],"v4.0-K[2,6]-phiapprox"
10044,0.05103302374482155,0.5533679127693176,0.9459565877914429,5.000000476837158,0.9101595878601074,0.09861155599355698,487.0928039550781,986.1856079101562,1013.6276889119201,986.3040846379419,0.38076679166540783,0.37651312351226807,716,False,50,25,[],"v4.0-K[2,6]-phiapprox"
10047,0.00566288223490119,0.27408698201179504,0.4926024377346039,2.0,0.9741770029067993,0.06195778027176857,429.6505432128906,871.3010864257812,898.7515414693789,871.4193962849362,0.4545540053362592,6.741251581843244e-06,717,True,50,23,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10048,0.0010000000474974513,0.10634263604879379,0.09010012447834015,2.0,1.0,0.0010000000474974513,462.44415283203125,936.8883056640625,964.2119060882173,937.0091689734151,0.4003777663362805,9.121879884332884e-06,702,True,48,4,"['alpha', 'capacity', 'kappa_s', 'epsilon']","v4.0-K[2,6]-phiapprox"
10050,0.007719601970165968,0.3452678918838501,0.3216979205608368,3.0000033378601074,1.0,0.06399210542440414,433.9676818847656,879.9353637695312,907.3858188131289,880.0536736286862,0.4490733512694136,0.5632085800170898,717,False,46,20,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10051,0.0047551351599395275,0.16367289423942566,0.18102052807807922,4.9999895095825195,0.9604077339172363,0.051270339637994766,333.8449401855469,679.6898803710938,707.0730135302865,679.8095384907518,0.5713980815687236,0.0457337461411953,709,False,49,40,['alpha'],"v4.0-K[2,6]-phiapprox"
10052,0.0051451255567371845,0.2517971396446228,0.11720728874206543,3.8001317977905273,0.798632025718689,0.0010000000474974513,471.5046691894531,955.0093383789062,982.392471538099,955.1289964985643,0.3946656622934407,1.1420804185036104e-05,709,True,48,21,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10055,0.010976787656545639,0.10612744092941284,0.24486495554447174,3.9228813648223877,1.0,0.13617192208766937,355.4016418457031,722.8032836914062,750.2704518377325,722.9212612194962,0.5500688239004993,6.2896097006159835e-06,719,True,50,15,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10057,0.005170959513634443,0.20782165229320526,0.39839133620262146,2.0090620517730713,0.8669764995574951,0.1469719409942627,495.4105529785156,1002.8211059570312,1030.229573425503,1002.9402548932014,0.366654327800649,9.756550753081683e-06,712,True,50,37,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10058,0.00323801813647151,0.12929706275463104,0.16654694080352783,2.0,0.3723325729370117,0.0010000000474974513,473.98370361328125,959.9674072265625,987.2481196911257,960.0891463569973,0.3810063704294444,6.417749318643473e-06,697,True,50,34,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10059,0.005888395011425018,0.17619413137435913,0.9920272827148438,2.0,0.886919379234314,0.08487667888402939,315.7500915527344,643.5001831054688,670.9590005197581,643.6183265653843,0.5997101404703147,8.438044460490346e-06,718,True,49,33,"['alpha', 'rho', 'capacity']","v4.0-K[2,6]-phiapprox"
