model,parameter,predictor,n,rho,p_uncorrected,p_fwe,significant
WM-RL+M6a,kappa_s,ies_avoidance,154,0.00048365687475645326,0.9952501227548752,1.0,False
WM-RL+M6a,kappa_s,ies_hyperarousal,154,0.017937229234871517,0.8252486603536469,1.0,False
WM-RL+M6a,epsilon,lec_total,154,-0.09986099360425557,0.21786376447312475,1.0,False
WM-RL+M6a,epsilon,lec_personal,154,-0.13779462094286282,0.08834492282643983,1.0,False
WM-RL+M6a,epsilon,ies_intrusion,154,0.027255617501540704,0.7372178053092635,1.0,False
WM-RL+M6a,epsilon,ies_avoidance,154,0.053674365835676856,0.508528070406457,1.0,False
WM-RL+M6a,epsilon,ies_hyperarousal,154,0.05892084556665703,0.46792327749608875,1.0,False
WM-RL+M6b,alpha_pos,lec_total,154,-0.027901397414253987,0.7312275107666452,1.0,False
WM-RL+M6b,alpha_pos,lec_personal,154,-0.025538119991662292,0.7532256375327647,1.0,False
WM-RL+M6b,alpha_pos,ies_intrusion,154,-0.01964391097380323,0.808926041348855,1.0,False
WM-RL+M6b,alpha_pos,ies_avoidance,154,0.009045185322739204,0.9113502662910011,1.0,False
WM-RL+M6b,alpha_pos,ies_hyperarousal,154,-0.05647214314045373,0.48665016904196745,1.0,False
WM-RL+M6b,alpha_neg,lec_total,154,-0.010426278478523765,0.8978830463189207,1.0,False
WM-RL+M6b,alpha_neg,lec_personal,154,-0.06741504343819184,0.4061271729821989,1.0,False
WM-RL+M6b,alpha_neg,ies_intrusion,154,0.04497465969168407,0.5796787610607681,1.0,False
WM-RL+M6b,alpha_neg,ies_avoidance,154,0.06540990775336404,0.4202625306533737,1.0,False
WM-RL+M6b,alpha_neg,ies_hyperarousal,154,0.0546125814963154,0.5011350301899304,1.0,False
WM-RL+M6b,phi,lec_total,154,0.10206763817881011,0.20781413818220265,1.0,False
WM-RL+M6b,phi,lec_personal,154,0.10144310537515812,0.21062402483519752,1.0,False
WM-RL+M6b,phi,ies_intrusion,154,0.2559969538035395,0.0013528453789893086,0.054113815159572344,False
WM-RL+M6b,phi,ies_avoidance,154,0.21822002551306527,0.006551469012006903,0.2620587604802761,False
WM-RL+M6b,phi,ies_hyperarousal,154,0.24133651076016807,0.002568055669981873,0.10272222679927492,False
WM-RL+M6b,rho,lec_total,154,-0.00291656172339837,0.9713630748987787,1.0,False
WM-RL+M6b,rho,lec_personal,154,-0.003928241967067053,0.9614363372874934,1.0,False
WM-RL+M6b,rho,ies_intrusion,154,-0.018785138545686295,0.8171294810766321,1.0,False
WM-RL+M6b,rho,ies_avoidance,154,-0.017835938546430587,0.826219828894477,1.0,False
WM-RL+M6b,rho,ies_hyperarousal,154,-0.07081770924329968,0.38279336495995886,1.0,False
WM-RL+M6b,capacity,lec_total,154,-0.14904472824946294,0.06506003144408429,1.0,False
WM-RL+M6b,capacity,lec_personal,154,-0.08905496777058161,0.27206349377954486,1.0,False
WM-RL+M6b,capacity,ies_intrusion,154,-0.09261308143589153,0.2532913382636413,1.0,False
WM-RL+M6b,capacity,ies_avoidance,154,-0.1201804158017788,0.13764048423156683,1.0,False
WM-RL+M6b,capacity,ies_hyperarousal,154,-0.07962943326043188,0.32625547729450133,1.0,False
WM-RL+M6b,kappa_total,lec_total,154,0.23446627034739137,0.003424067932033925,0.136962717281357,False
WM-RL+M6b,kappa_total,lec_personal,154,-0.0018052511469911687,0.9822724055547122,1.0,False
WM-RL+M6b,kappa_total,ies_intrusion,154,0.014092795917714033,0.8622814228396382,1.0,False
WM-RL+M6b,kappa_total,ies_avoidance,154,-0.00041456269496439104,0.9959286736745976,1.0,False
WM-RL+M6b,kappa_total,ies_hyperarousal,154,-0.0003395576352769493,0.9966652766610089,1.0,False
WM-RL+M6b,kappa_share,lec_total,154,0.11526783102338856,0.15458216576371733,1.0,False
WM-RL+M6b,kappa_share,lec_personal,154,-0.03482466881892099,0.6680892368254434,1.0,False
WM-RL+M6b,kappa_share,ies_intrusion,154,-0.04864079171743114,0.5491373957984669,1.0,False
WM-RL+M6b,kappa_share,ies_avoidance,154,-0.038396016063184386,0.6363741686169078,1.0,False
WM-RL+M6b,kappa_share,ies_hyperarousal,154,-0.025838275405439586,0.7504202514150553,1.0,False
WM-RL+M6b,epsilon,lec_total,154,-0.1712544107649508,0.03370270869816131,1.0,False
WM-RL+M6b,epsilon,lec_personal,154,-0.29124534881484243,0.00024774211707293437,0.009909684682917374,True
WM-RL+M6b,epsilon,ies_intrusion,154,0.018971103771705876,0.815351328628106,1.0,False
WM-RL+M6b,epsilon,ies_avoidance,154,0.061496544715460164,0.44865942382220736,1.0,False
WM-RL+M6b,epsilon,ies_hyperarousal,154,0.09208819638170065,0.25600293418248765,1.0,False
WM-RL+M4 (LBA),alpha_pos,lec_total,154,0.07869023868828766,0.332011930751682,1.0,False
WM-RL+M4 (LBA),alpha_pos,lec_personal,154,-0.00943661760354754,0.9075306283355775,1.0,False
WM-RL+M4 (LBA),alpha_pos,ies_intrusion,154,0.2641767196705489,0.0009307850312106821,0.0465392515605341,True
WM-RL+M4 (LBA),alpha_pos,ies_avoidance,154,0.11391601946899635,0.15950847188986236,1.0,False
