participant_id,alpha,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10098,0.04557674378156662,0.11965539306402206,0.048449791967868805,6.0,-0.19850057363510132,0.054489269852638245,0.037305932492017746,320.4267578125,654.853515625,686.8300610048839,655.0126065340909,0.5903581401379285,8.185566912288778e-06,712,True,48,19,['capacity'],"v4.0-K[2,6]-phiapprox"
10099,0.04858605936169624,0.25915956497192383,0.13617797195911407,2.0,-0.23916149139404297,0.05993663892149925,0.05473896488547325,385.58349609375,785.1669921875,817.1631729238771,785.3256324141289,0.5084408637472728,9.089701961784158e-06,714,True,50,22,['capacity'],"v4.0-K[2,6]-phiapprox"
10101,0.012821407057344913,0.0010000000474974513,0.17605632543563843,2.0,1.0,0.03371430188417435,0.06771145761013031,304.0558776855469,622.1117553710938,654.1177331699519,622.270171212678,0.6129180602016273,9.952525033440907e-06,715,True,49,10,"['phi', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10102,0.23813752830028534,0.9989998936653137,0.7594519853591919,5.0,-0.26513350009918213,0.0699634701013565,0.10253788530826569,450.53961181640625,915.0792236328125,947.0949848015371,915.237415723208,0.42723627398809894,0.898261547088623,716,False,49,3,['phi'],"v4.0-K[2,6]-phiapprox"
10103,0.5293356776237488,0.9990000128746033,0.7890784740447998,2.0,1.0,0.0010000000474974513,0.07771313190460205,225.18377685546875,464.3675537109375,496.4125832149848,464.5250783241583,0.7149219653771458,7.036011993477587e-06,719,True,48,4,"['phi', 'capacity', 'kappa', 'phi_rl']","v4.0-K[2,6]-phiapprox"
10104,0.0198788121342659,0.18536946177482605,0.20844823122024536,2.0,0.668992280960083,0.03225921094417572,0.2200271189212799,548.2313842773438,1110.4627685546875,1142.4687463535456,1110.6211843962717,0.302067536731231,8.674033779243473e-06,715,True,50,12,['capacity'],"v4.0-K[2,6]-phiapprox"
10106,0.029154833406209946,0.11627483367919922,0.043516505509614944,2.9181408882141113,0.2860349416732788,0.04553912580013275,0.040277477353811264,437.2857360839844,888.5714721679688,920.616501672016,888.7289967811896,0.4464052430764489,0.002583635738119483,719,False,50,10,[],"v4.0-K[2,6]-phiapprox"
10107,0.019568447023630142,0.15454839169979095,0.2446690797805786,2.108398199081421,0.3899785280227661,0.0378207229077816,0.05340076982975006,386.229248046875,786.45849609375,818.4546768301271,786.6171363203789,0.5076176301920834,9.904032594931778e-06,714,True,49,13,[],"v4.0-K[2,6]-phiapprox"
10109,0.0401846244931221,0.1191921979188919,0.35297879576683044,2.0,0.5905625820159912,0.0680772140622139,0.0870300680398941,338.00616455078125,690.0123291015625,722.0573586056098,690.1698537147834,0.572091140729059,6.088867849030066e-06,719,True,50,11,['capacity'],"v4.0-K[2,6]-phiapprox"
10110,0.0401846244931221,0.1191921979188919,0.35297879576683044,2.0,0.5905625820159912,0.0680772140622139,0.0870300680398941,338.00616455078125,690.0123291015625,722.0573586056098,690.1698537147834,0.572091140729059,6.088867849030066e-06,719,True,50,11,['capacity'],"v4.0-K[2,6]-phiapprox"
10111,0.03488271310925484,0.3266267478466034,0.19804070889949799,2.0,-0.20288175344467163,0.06628589332103729,0.15049201250076294,559.1279296875,1132.255859375,1164.2422293179002,1132.414724623227,0.2861989140193343,9.095287168747745e-06,713,True,47,17,['capacity'],"v4.0-K[2,6]-phiapprox"
10112,0.016347207129001617,0.08445831388235092,0.10575269907712936,2.0,1.0,0.09396491199731827,0.007426633033901453,477.666015625,969.33203125,1001.259245911276,969.4922601484263,0.38502072892726624,9.287667126045562e-06,707,True,47,6,"['capacity', 'kappa', 'epsilon']","v4.0-K[2,6]-phiapprox"
10114,0.02022675983607769,0.13042137026786804,0.06336816400289536,2.0,0.23186004161834717,0.030612319707870483,0.02220633253455162,465.1656799316406,944.3313598632812,976.2783485490062,944.4911316179175,0.40280388045934623,4.906547474092804e-05,709,True,50,11,['capacity'],"v4.0-K[2,6]-phiapprox"
10115,0.3438225984573364,0.9990000128746033,0.794933021068573,5.416476726531982,1.0,0.0502261258661747,0.07371637970209122,335.34295654296875,684.6859130859375,716.6526200945602,684.8452302978862,0.5706859164297764,7.095498403941747e-06,711,True,50,9,"['phi', 'kappa']","v4.0-K[2,6]-phiapprox"
10116,0.029990825802087784,0.10288167744874954,0.07732225209474564,4.999999523162842,0.18120348453521729,0.0477326363325119,0.06399328261613846,363.2676696777344,740.5353393554688,772.5706263388063,740.693085834342,0.5394700797966652,0.22323165833950043,718,False,49,10,[],"v4.0-K[2,6]-phiapprox"
10117,0.08385949581861496,0.6950401067733765,0.42581042647361755,2.0,-0.4161043167114258,0.043631136417388916,0.05012233182787895,280.10968017578125,574.2193603515625,606.2253381504206,574.3777761931467,0.6434030508337149,8.398004865739495e-06,715,True,49,12,['capacity'],"v4.0-K[2,6]-phiapprox"
10120,0.0173296220600605,0.0752321109175682,0.22125037014484406,2.0,0.871180534362793,0.038354258984327316,0.05847886577248573,347.5426330566406,709.0852661132812,741.0912439121394,709.2436819548655,0.5575567307226137,6.250992555578705e-06,715,True,49,16,['capacity'],"v4.0-K[2,6]-phiapprox"
10121,0.21322356164455414,0.9990000128746033,0.7820323705673218,5.0,-0.008535563945770264,0.08764094859361649,0.015120829455554485,503.65118408203125,1021.3023681640625,1053.2690751726852,1021.4616853760112,0.3552136929837989,0.7675679922103882,711,False,50,12,"['phi', 'kappa']","v4.0-K[2,6]-phiapprox"
10125,0.07071639597415924,0.9990000128746033,0.4816282391548157,2.0,-0.04505079984664917,0.0825013816356659,0.0010000000474974513,431.5449523925781,877.0899047851562,909.1154356693536,877.2478737555371,0.4521490324678722,5.285508086672053e-05,717,True,50,3,"['phi', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10126,0.43068695068359375,0.2617134153842926,0.9335447549819946,5.000000476837158,1.0,0.0010000000474974513,0.07971544563770294,241.31298828125,496.6259765625,528.6710060665473,496.7835011757208,0.6945027151208122,1.344650387763977,719,False,49,16,"['kappa', 'phi_rl']","v4.0-K[2,6]-phiapprox"
10128,0.03735155612230301,0.0010000000474974513,0.022052697837352753,5.0,-0.32570117712020874,0.056672293692827225,0.14559975266456604,476.35931396484375,966.7186279296875,998.6260125493734,966.8793165953977,0.38496321483709195,0.007438750006258488,705,False,49,9,['phi'],"v4.0-K[2,6]-phiapprox"
10130,0.029943935573101044,0.22125443816184998,0.10979903489351273,2.0,-0.7111123204231262,0.05490158498287201,0.18618261814117432,583.2454833984375,1180.490966796875,1212.4773367397752,1180.649832045102,0.2554096525354984,6.7271066654939204e-06,713,True,49,20,['capacity'],"v4.0-K[2,6]-phiapprox"
10135,0.03775477781891823,0.06621392071247101,0.05501646548509598,2.9295713901519775,0.5339633226394653,0.060894761234521866,0.08859400451183319,427.11431884765625,868.2286376953125,900.1260861884188,868.3895572355424,0.44776106921997294,8.057763807300944e-06,704,True,49,18,[],"v4.0-K[2,6]-phiapprox"
10137,0.014692080207169056,0.08460553735494614,0.15523125231266022,4.999999523162842,0.1086127758026123,0.02971779555082321,0.02903941087424755,249.02586364746094,512.0517272949219,544.0870142782594,512.2094737737951,0.6842992903390737,0.05792583152651787,718,False,50,2,[],"v4.0-K[2,6]-phiapprox"
10139,0.030098794028162956,0.5427132844924927,0.44302117824554443,2.0,-0.12810993194580078,0.07356557250022888,0.1407657265663147,611.6492919921875,1237.298583984375,1269.205968604061,1237.4592726500853,0.210287690056991,4.348813308752142e-05,705,True,49,24,['capacity'],"v4.0-K[2,6]-phiapprox"
