participant_id,aic_M1,aic_M2,aic_M3,aic_M5,aic_M6a,aic_M6b,winning_model,m6b_nll,m6b_aic,m6b_n_trials,m6b_alpha,m6b_phi,m6b_rho,m6b_capacity,m6b_kappa_total,m6b_kappa_share,m6b_epsilon
10117,579.9328002929688,581.1024780273438,574.865966796875,574.2193603515625,571.046142578125,573.0462036132812,M6a,279.5231018066406,573.0462036132812,715,0.0468835644423961,0.5765607953071594,0.737182080745697,2.0,0.8685177564620972,4.3107341697948286e-13,0.0537677966058254
10120,764.2582397460938,725.2771606445312,710.6863403320312,709.0852661132812,721.8784790039062,705.2186889648438,M6b,345.6093444824219,705.2186889648438,715,0.0015039565041661,0.0463014096021652,0.1414671540260315,2.7794950008392334,1.0,0.5209722518920898,0.0163579992949962
10121,1088.114013671875,1037.046142578125,1037.330322265625,1021.3023681640624,1008.6489868164062,1010.6489868164062,M6a,498.3244934082031,1010.6489868164062,711,0.007096235640347,0.277666836977005,0.3381995260715484,2.999999761581421,0.9565008878707886,4.7272069844175614e-20,0.1569925099611282
10125,923.3290405273438,880.62255859375,895.1192016601562,877.0899047851562,866.5474853515625,868.5474243164062,M6a,427.2737121582031,868.5474243164062,717,0.0085028568282723,0.1739427298307418,0.0946496203541755,3.239006519317627,0.800508975982666,2.4715141391795648e-11,0.0542052648961544
10126,541.28955078125,533.7928466796875,494.5328369140625,496.6259765625,525.461181640625,496.5328674316406,M3,241.2664337158203,496.5328674316406,719,0.4217168986797333,0.2606948912143707,0.9347416758537292,5.000004291534424,1.0,1.0,0.0796776860952377
10128,993.9151611328124,987.2676391601562,977.3185424804688,966.7186279296876,948.0928344726562,950.0928955078124,M6a,468.0464477539063,950.0928955078124,705,0.0061883088201284,0.0164678189903497,0.061674203723669,4.402125358581543,1.0,5.498519174695904e-12,0.170247197151184
10130,1247.1451416015625,1213.1507568359375,1189.144775390625,1180.490966796875,1198.5985107421875,1191.1448974609375,M5,588.5724487304688,1191.1448974609375,713,0.0068355440162122,0.1558160930871963,0.2019091695547104,2.0,-0.7300096750259399,1.0,0.2173049598932266
10135,911.253173828125,907.2915649414062,885.1605224609375,868.2286376953125,853.37109375,851.677978515625,M6b,418.8389892578125,851.677978515625,704,0.002958595752716,0.066655732691288,0.1152512058615684,3.0331485271453857,1.0,0.2239236235618591,0.0707065239548683
10137,576.2764892578125,509.0023193359375,510.9865112304688,512.0517272949219,488.3245239257813,490.3245239257813,M6a,238.16226196289065,490.3245239257813,718,0.0027018697001039,0.1072172075510025,0.2221247106790542,4.999999523162842,1.0,8.512822669004548e-10,0.0371254943311214
10139,1330.7047119140625,1258.626220703125,1250.2030029296875,1237.298583984375,1212.302001953125,1214.302001953125,M6a,600.1510009765625,1214.302001953125,705,0.0035114423371851,0.4183595180511474,0.5021305680274963,2.0,0.817347526550293,9.063410030809644e-17,0.1663033217191696
10140,808.5829467773438,797.0723266601562,779.6038208007812,769.7281494140625,762.6785888671875,761.927001953125,M6b,373.9635009765625,761.927001953125,715,0.104051873087883,0.6693373918533325,0.827656626701355,5.000000476837158,0.9999997615814208,0.2498687207698822,0.0961581692099571
